rosca_id,outcome_amtinvest_healthproducts,outcome_illness_untreated_3mo,treat_safe_box,treat_locked_box,treat_health_pot,treat_health_savings,any_treatment,covariate_rosbg_monthly_contrib,covariate_female,covariate_b1_age,covariate_provider,covariate_hyperbolic,covariate_pat_now_impat_later,covariate_max_discount,covariate_n_roscas,control_group,maxn
102,510,0,1,0,0,0,1,600,1,35,1,1,0,0,2,0,8
102,60,0,1,0,0,0,1,600,1,28,0,1,0,0,1,0,8
102,100,0,1,0,0,0,1,600,0,44,0,0,0,0,1,0,8
102,0,0,1,0,0,0,1,600,1,40,0,1,0,0,2,0,8
102,80,0,1,0,0,0,1,600,1,29,1,0,0,0,1,0,8
102,340,0,1,0,0,0,1,600,0,30,0,0,0,0,1,0,8
105,940,0,1,0,0,0,1,200,1,25,1,0,0,1,2,0,8
105,290,0,1,0,0,0,1,200,1,40,0,0,0,0,2,0,8
105,33,0,1,0,0,0,1,200,1,25,0,0,0,0,1,0,8
105,100,0,1,0,0,0,1,200,0,48,1,0,0,1,2,0,8
105,1140,0,1,0,0,0,1,200,1,45,0,0,0,1,2,0,8
105,850,0,1,0,0,0,1,200,1,28,0,1,0,0,1,0,8
105,40,0,1,0,0,0,1,200,1,37,0,0,0,1,1,0,8
105,0,0,1,0,0,0,1,200,1,42,0,0,0,1,2,0,8
115,120,0,0,1,0,0,1,1000,1,45,0,0,0,1,1,0,5
115,640,0,0,1,0,0,1,1000,1,40,0,0,0,1,1,0,5
115,100,0,0,1,0,0,1,1000,1,40,0,0,0,1,1,0,5
115,1300,0,0,1,0,0,1,1000,1,30,0,0,0,1,1,0,5
115,0,0,0,1,0,0,1,1000,1,48,0,0,0,0,1,0,5
118,840,0,0,0,1,0,1,40,1,29,0,0,1,0,2,0,8
118,570,0,0,0,1,0,1,40,1,48,0,1,0,0,1,0,8
118,165,1,0,0,1,0,1,40,1,68,0,0,0,1,1,0,8
118,470,1,0,0,1,0,1,40,1,64,0,0,0,1,1,0,8
118,140,1,0,0,1,0,1,40,1,22,0,0,0,1,1,0,8
118,290,1,0,0,1,0,1,40,1,23,0,0,0,0,1,0,8
123,470,0,0,1,0,0,1,1000,1,42,0,0,0,1,1,0,6
123,800,0,0,1,0,0,1,1000,1,52,0,0,0,1,1,0,6
123,96,0,0,1,0,0,1,1000,1,47,0,0,0,1,1,0,6
123,1560,0,0,1,0,0,1,1000,0,33,1,0,0,1,1,0,6
123,100,1,0,1,0,0,1,1000,1,40,0,0,0,0,2,0,6
123,60,0,0,1,0,0,1,1000,1,55,0,0,0,1,1,0,6
133,550,0,0,1,0,0,1,500,1,24,0,0,0,1,2,0,3
133,220,0,0,1,0,0,1,500,1,50,0,0,0,1,1,0,3
138,80,1,0,1,0,0,1,100,1,40,0,1,0,0,1,0,9
138,40,1,0,1,0,0,1,100,0,51,0,0,0,1,2,0,9
138,0,0,0,1,0,0,1,100,0,68,0,0,0,1,1,0,9
138,60,0,0,1,0,0,1,100,0,46,1,0,0,1,1,0,9
138,40,1,0,1,0,0,1,100,1,46,0,0,0,1,2,0,9
138,0,1,0,1,0,0,1,100,1,68,0,0,0,1,1,0,9
139,0,1,0,0,0,0,0,120,0,32,1,0,0,1,1,1,6
139,20,1,0,0,0,0,0,120,1,47,0,0,1,0,2,1,6
139,93,0,0,0,0,0,0,120,0,35,0,0,0,0,2,1,6
139,1399,0,0,0,0,0,0,120,0,56,0,0,0,0,1,1,6
139,80,0,0,0,0,0,0,120,1,35,1,0,0,0,1,1,6
139,110,1,0,0,0,0,0,120,0,48,0,0,0,1,1,1,6
145,820,1,0,0,1,0,1,400,1,46,0,1,0,0,2,0,6
145,0,1,0,0,1,0,1,400,0,66,0,0,0,1,1,0,6
145,100,1,0,0,1,0,1,400,1,24,0,0,0,1,1,0,6
145,0,1,0,0,1,0,1,400,1,21,0,0,0,0,1,0,6
161,225,1,0,0,0,0,0,800,1,24,0,0,1,0,1,1,5
161,105,1,0,0,0,0,0,800,1,48,0,0,0,1,1,1,5
161,40,0,0,0,0,0,0,800,1,30,0,1,0,0,1,1,5
161,125,1,0,0,0,0,0,800,0,24,0,0,1,0,1,1,5
161,0,0,0,0,0,0,0,800,0,33,0,0,0,1,1,1,5
164,0,0,0,1,0,0,1,150,1,45,0,0,0,0,1,0,8
164,40,0,0,1,0,0,1,150,0,35,0,1,0,0,2,0,8
164,770,0,0,1,0,0,1,150,0,56,0,0,0,0,2,0,8
164,440,0,0,1,0,0,1,150,0,48,1,0,0,1,3,0,8
164,0,0,0,1,0,0,1,150,0,34,0,0,0,1,3,0,8
164,500,1,0,1,0,0,1,150,1,63,0,0,1,0,1,0,8
164,720,0,0,1,0,0,1,150,1,40,0,1,0,0,2,0,8
164,700,0,0,1,0,0,1,150,1,62,0,0,0,1,1,0,8
168,520,0,0,1,0,0,1,100,1,30,1,0,1,0,1,0,10
168,470,1,0,1,0,0,1,100,1,23,0,0,1,0,1,0,10
168,0,1,0,1,0,0,1,100,1,52,0,0,0,0,2,0,10
168,60,1,0,1,0,0,1,100,1,23,0,0,0,1,1,0,10
168,700,1,0,1,0,0,1,100,1,23,0,1,0,0,2,0,10
168,300,0,0,1,0,0,1,100,0,41,0,1,0,0,1,0,10
168,0,1,0,1,0,0,1,100,1,40,1,0,0,1,2,0,10
168,900,1,0,1,0,0,1,100,1,45,0,0,1,0,1,0,10
168,40,1,0,1,0,0,1,100,1,45,0,0,1,0,1,0,10
168,0,0,0,1,0,0,1,100,1,35,0,0,0,0,3,0,10
